        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      485    0.001    0.000    0.053    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/engine.py:153(find_template)
    24310    0.011    0.000    0.052    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:316(line)
      485    0.001    0.000    0.052    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loaders/cached.py:28(get_template)
   231384    0.049    0.000    0.049    0.000 {method 'strip' of 'str' objects}
   302923    0.049    0.000    0.049    0.000 {method 'items' of 'dict' objects}
       29    0.000    0.000    0.048    0.002 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loaders/base.py:8(get_template)
   201122    0.047    0.000    0.047    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/dispatch/dispatcher.py:152(send)
       49    0.000    0.000    0.047    0.001 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:29(format_list)
      483    0.001    0.000    0.045    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/engine.py:170(get_template)
       49    0.005    0.000    0.043    0.001 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:513(format)
       83    0.001    0.000    0.041    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/urls/base.py:27(reverse)
     4862    0.004    0.000    0.038    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:26(getline)
     4862    0.017    0.000    0.037    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py:458(format_frame_summary)
   201383    0.036    0.000    0.036    0.000 {method 'setdefault' of 'dict' objects}
       23    0.000    0.000    0.036    0.002 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:139(__init__)
       23    0.000    0.000    0.036    0.002 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:179(compile_nodelist)
   100610    0.035    0.000    0.035    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/options.py:660(get_field)
   100499    0.035    0.000    0.035    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1375(__init__)
       49    0.001    0.000    0.035    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/silk/sql.py:32(_explain_query)
     4862    0.003    0.000    0.033    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:36(getlines)
       83    0.001    0.000    0.033    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/urls/resolvers.py:741(_reverse_with_prefix)
       40    0.000    0.000    0.030    0.001 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:80(updatecache)
       98    0.002    0.000    0.030    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:725(as_sql)
   203083    0.029    0.000    0.029    0.000 {built-in method builtins.issubclass}
   231/23    0.003    0.000    0.029    0.001 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:458(parse)
        9    0.000    0.000    0.029    0.003 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/manager.py:85(manager_method)
  438/366    0.001    0.000    0.028    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/functional.py:49(__get__)
